"ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"000009.SH","20130829","3217.866","3218.512","3225.672","3195.983","3215.362","2.504","0.0779","51460489","39459774.162"
"000009.SH","20130828","3215.362","3199.17","3240.978","3178.857","3216.451","-1.089","-0.0339","56994746","46284931.892"
"000009.SH","20130827","3216.451","3191.087","3217.204","3186.347","3190.952","25.499","0.7991","45416858","37844767.569"
"000009.SH","20130826","3190.952","3120.203","3191.294","3117.039","3114.807","76.145","2.4446","41107358","34675700.677"
"000009.SH","20130823","3114.807","3135.035","3143.174","3063.473","3123.519","-8.712","-0.2789","39850653","34659515.158"
"000009.SH","20130822","3123.519","3116.52","3137.001","3110.776","3122.472","1.047","0.0335","31684782","26939206.049"
"000009.SH","20130821","3122.472","3108.946","3123.14","3089.103","3109.072","13.4","0.431","31403101","25952432.496"
"000009.SH","20130820","3109.072","3116.224","3139.838","3094.289","3119.854","-10.782","-0.3456","36593793","29738299.209"
"000009.SH","20130819","3119.854","3051.417","3120.312","3048.701","3065.915","53.939","1.7593","31192774","25168726.376"
"000009.SH","20130816","3065.915","3107.62","3171.827","3063.345","3124.946","-59.031","-1.889","39797157","32799659.542"
"000009.SH","20130815","3124.946","3162.223","3169.621","3122.61","3166.183","-41.237","-1.3024","34776204","30285626.666"
"000009.SH","20130814","3166.183","3176.298","3187.41","3153.148","3175.477","-9.294","-0.2927","38464601","32139587.903"
"000009.SH","20130813","3175.477","3162.205","3176.13","3156.144","3160.954","14.523","0.4594","37928264","31229554.057"
"000009.SH","20130812","3160.954","3113.787","3161.266","3113.326","3106.757","54.197","1.7445","39991914","33757772.544"
"000009.SH","20130809","3106.757","3100.17","3121.204","3064.557","3096.428","10.329","0.3336","32403456","28391848.275"
"000009.SH","20130808","3096.428","3081.198","3113.973","3075.202","3087.795","8.633","0.2796","30495898","27268097.204"
"000009.SH","20130807","3087.795","3107.304","3118.598","3081.123","3113.939","-26.144","-0.8396","37173649","32700320.494"
"000009.SH","20130806","3113.939","3072.451","3117.589","3065.116","3077.615","36.324","1.1803","37400994","32133989.555"
"000009.SH","20130805","3077.615","3023.908","3078.175","3022.931","3024.418","53.197","1.7589","30410402","27586969.829"
"000009.SH","20130802","3024.418","3027.648","3046.401","3020.209","3017.553","6.865","0.2275","31833092","28113015.813"
"000009.SH","20130801","3017.553","2950.237","3017.838","2946.63","2944.782","72.771","2.4712","30721778","27340226.192"
"000009.SH","20130731","2944.782","2946.218","2966.618","2934.16","2938.397","6.385","0.2173","22861691","20465151.452"
"000009.SH","20130730","2938.397","2946.946","2962.64","2890.583","2944.369","-5.972","-0.2028","25688504","22981460.184"
"000009.SH","20130729","2944.369","2975.404","2978.974","2937.588","2990.588","-46.219","-1.5455","26273334","22962938.841"
"000009.SH","20130726","2990.588","2988.948","3010.784","2960.173","3001.796","-11.208","-0.3734","27192038","25260875.008"
"000009.SH","20130725","3001.796","3042.941","3052.683","2996.132","3045.22","-43.424","-1.426","34490470","32322632.697"
"000009.SH","20130724","3045.22","3031.312","3050.102","2997.558","3038.82","6.4","0.2106","37134861","34787919.295"
"000009.SH","20130723","3038.82","2974.161","3038.942","2974.161","2968.98","69.84","2.3523","36719828","33479246.136"
"000009.SH","20130722","2968.98","2906.914","2970.002","2895.737","2922.032","46.948","1.6067","28456588","26698953.825"
"000009.SH","20130719","2922.032","2989.622","3009.182","2921.597","2990.759","-68.727","-2.298","34320153","30393023.902"
"000009.SH","20130718","2990.759","2995.303","3011.117","2967.587","3004.684","-13.925","-0.4634","31502590","27559790.096"
"000009.SH","20130717","3004.684","3037.292","3055.277","2997.302","3043.613","-38.929","-1.279","33770132","31022500.006"
"000009.SH","20130716","3043.613","3014.371","3043.613","2992.152","3015.532","28.081","0.9312","32136915","28893454.388"
"000009.SH","20130715","3015.532","2973.178","3020.583","2971.245","2964.83","50.702","1.7101","31699098","28918196.38"
"000009.SH","20130712","2964.83","2991.895","3015.351","2964.244","2993.189","-28.359","-0.9475","35098036","31883129.609"
"000009.SH","20130711","2993.189","2912.353","3015.71","2911.832","2910.872","82.317","2.8279","43878715","36366963.466"
"000009.SH","20130710","2910.872","2833.183","2911.029","2830.803","2833.679","77.193","2.7241","29615211","24824021.073"
"000009.SH","20130709","2833.679","2809.656","2835.11","2798.397","2815.965","17.714","0.6291","22321520","19164451.568"
"000009.SH","20130708","2815.965","2882.582","2882.582","2815.552","2919.309","-103.344","-3.54","27892240","23404476.427"
"000009.SH","20130705","2919.309","2925.811","2955.679","2918.443","2927.397","-8.088","-0.2763","29544767","24997193.015"
"000009.SH","20130704","2927.397","2893.638","2957.407","2880.115","2908.271","19.126","0.6576","31445225","26277767.521"
"000009.SH","20130703","2908.271","2904.757","2915.246","2857.595","2915.931","-7.66","-0.2627","29685336","25654512.189"
"000009.SH","20130702","2915.931","2875.328","2916.765","2867.975","2875.497","40.434","1.4062","28204442","26035572.609"
"000009.SH","20130701","2875.497","2815.101","2876.076","2802.426","2824.135","51.362","1.8187","24955461","21296635.005"
